Date,Open,High,Low,Close,Adj Close,Volume
2025-04-23,157.91,160.02,156.35,157.72,157.72,18552300
2025-04-22,151.07,154.61,150.87,153.90,153.90,15910300
2025-04-21,150.96,151.06,148.40,149.86,149.86,16147800
2025-04-17,156.61,157.07,150.90,153.36,153.36,19513400
2025-04-16,155.47,158.18,153.91,155.50,155.50,16921500
2025-04-15,161.57,162.05,157.65,158.68,158.68,15690800
2025-04-14,162.31,164.03,159.92,161.47,161.47,18255900
2025-04-11,155.59,159.86,155.59,159.40,159.40,22582000
2025-04-10,158.76,160.03,152.20,155.37,155.37,35270500
2025-04-09,146.33,161.87,145.81,161.06,161.06,46479500
2025-04-08,153.57,154.44,145.21,146.58,146.58,35304400
2025-04-07,143.39,154.93,142.66,149.24,149.24,47823000
2025-04-04,149.90,153.09,147.54,147.74,147.74,39832200
2025-04-03,152.84,154.69,152.18,152.63,152.63,28416100
2025-04-02,156.96,160.27,156.53,158.86,158.86,17113300
2025-04-01,155.30,160.08,155.26,158.88,158.88,20111400
2025-03-31,154.81,157.13,152.21,156.23,156.23,33591600
2025-03-28,162.36,163.81,155.34,156.06,156.06,34866500
2025-03-27,166.71,167.44,163.85,164.08,164.08,21571200
2025-03-26,171.30,171.94,166.86,167.14,167.14,22498000
2025-03-25,171.18,172.91,170.55,172.79,172.79,13841600
2025-03-24,169.26,170.50,167.44,169.93,169.93,18742800
2025-03-21,163.38,166.47,163.03,166.25,166.25,29882100
2025-03-20,163.82,167.03,163.14,165.05,165.05,19981500
2025-03-19,163.91,168.13,163.05,166.28,166.28,24955700
2025-03-18,165.96,166.44,158.80,162.67,162.67,24616800
2025-03-17,167.32,168.46,165.81,166.57,166.57,17839100
2025-03-14,165.32,168.25,164.51,167.62,167.62,18611100
2025-03-13,167.98,168.12,164.07,164.73,164.73,15206200
2025-03-12,168.47,169.53,165.48,169.00,169.00,19880100
2025-03-11,166.68,168.65,163.24,165.98,165.98,23705900
2025-03-10,170.16,170.45,165.57,167.81,167.81,28990700
2025-03-07,173.24,176.90,172.25,175.75,175.55,16395300
2025-03-06,172.55,176.73,172.51,174.21,174.01,19082400
2025-03-05,172.32,175.75,170.93,174.99,174.79,18848000
2025-03-04,167.94,175.16,167.54,172.61,172.41,30711400
2025-03-03,173.73,175.00,167.64,168.66,168.47,24122000
2025-02-28,170.30,172.50,168.39,172.22,172.02,30049800
2025-02-27,175.94,176.59,169.75,170.21,170.02,25930500
2025-02-26,176.95,178.08,173.59,174.70,174.50,23637200
2025-02-25,180.15,180.76,176.77,177.37,177.17,20832500
2025-02-24,183.80,185.09,180.88,181.19,180.98,18734000
2025-02-21,187.29,187.47,181.13,181.58,181.37,19520800
2025-02-20,186.50,187.12,184.60,186.64,186.43,12063800
2025-02-19,186.18,187.36,185.50,187.13,186.92,13120500
2025-02-18,187.44,187.78,183.58,185.80,185.59,19796000
2025-02-14,186.83,188.15,186.11,186.87,186.66,12714200
2025-02-13,185.93,187.99,184.88,187.88,187.67,12729300
2025-02-12,185.23,186.83,183.63,185.43,185.22,17632300
2025-02-11,186.84,188.80,186.08,187.07,186.86,13028100
2025-02-10,189.06,189.99,187.61,188.20,187.99,16606000
2025-02-07,192.74,193.01,185.10,187.14,186.93,29565700
2025-02-06,190.99,193.83,190.49,193.31,193.09,20816600
2025-02-05,193.10,194.55,189.91,193.30,193.08,43666400
2025-02-04,204.50,208.70,204.26,207.71,207.47,28285400
2025-02-03,202.21,205.22,201.66,202.64,202.41,16719500
2025-01-31,203.71,207.08,203.58,205.60,205.37,17087300
2025-01-30,199.76,203.24,199.47,202.63,202.40,14571500
2025-01-29,197.37,198.46,195.19,197.18,196.96,12287800
2025-01-28,194.65,197.23,192.61,197.07,196.85,15939200
2025-01-27,194.19,198.67,192.70,193.77,193.55,24970200
2025-01-24,199.85,202.57,199.78,201.90,201.67,12732400
2025-01-23,199.98,201.94,196.82,199.58,199.35,15170800
2025-01-22,200.55,202.12,199.20,200.03,199.80,15477400
2025-01-21,200.51,203.84,199.44,199.63,199.40,19005200
2025-01-17,198.05,198.81,195.31,197.55,197.33,22109100
2025-01-16,195.82,196.98,194.30,194.41,194.19,13449600
2025-01-15,194.35,197.80,193.33,196.98,196.76,12894900
2025-01-14,192.50,193.27,189.64,191.05,190.83,13651200
2025-01-13,191.35,192.49,188.66,192.29,192.07,13169100
2025-01-10,195.42,197.62,191.60,193.17,192.95,20753800
2025-01-08,193.95,197.64,193.75,195.39,195.17,14335300
2025-01-07,198.27,202.14,195.94,196.71,196.49,16966800
2025-01-06,195.15,199.56,195.06,197.96,197.73,19483300
2025-01-03,192.73,194.50,191.35,193.13,192.91,12875000
2025-01-02,191.49,193.20,188.71,190.63,190.41,17545200
2024-12-31,192.45,193.25,189.58,190.44,190.22,14355200
2024-12-30,190.87,193.78,190.36,192.69,192.47,12209500
2024-12-27,196.47,196.80,191.97,194.04,193.82,14693000
2024-12-26,196.74,198.16,195.87,197.10,196.88,7907900
2024-12-24,196.17,197.67,195.20,197.57,197.35,6809800
2024-12-23,194.03,196.49,191.63,195.99,195.77,15235900
2024-12-20,187.01,194.13,186.37,192.96,192.74,45319700
2024-12-19,193.28,194.60,189.52,189.70,189.48,26981200
2024-12-18,196.83,198.69,189.28,190.15,189.93,27638400
2024-12-17,198.53,202.88,196.69,197.12,196.90,24129500
2024-12-16,194.37,200.64,194.11,198.16,197.93,32248600
2024-12-13,192.71,194.34,191.26,191.38,191.16,18883200
2024-12-12,196.30,196.71,193.28,193.63,193.41,25197800
2024-12-11,186.70,196.89,186.26,196.71,196.49,41664500
2024-12-10,184.54,188.03,182.67,186.53,186.32,34317400
2024-12-09,175.71,178.04,175.40,177.10,176.90,19887800
2024-12-06,173.88,176.84,173.55,176.49,176.09,13319500
2024-12-05,177.32,177.71,174.01,174.31,173.91,16145500
2024-12-04,172.78,176.43,172.75,176.09,175.69,18239800
2024-12-03,173.12,174.32,172.51,173.02,172.63,15721500
2024-12-02,170.32,173.60,170.27,172.98,172.59,16593400
2024-11-29,170.06,170.87,168.75,170.49,170.10,9250700
2024-11-27,170.68,171.14,169.67,170.82,170.43,12433400
2024-11-26,169.49,171.49,169.43,170.62,170.23,14937500
2024-11-25,167.99,170.46,167.40,169.43,169.05,21395700
2024-11-22,167.16,168.26,165.71,166.57,166.19,24497000
